Part;Time [s];Np;ForceFluid.x [N];ForceFluid.y [N];ForceFluid.z [N];ForceFluid [N];Weight.x [N];Weight.y [N];Weight.z [N];ForceTotal.x [N];ForceTotal.y [N];ForceTotal.z [N];ForceTotal [N]
0;0.000000;10141; -4.984839004015E+02; -5.268634583190E+02; -2.920378270675E+04;  2.921278822169E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04; -4.984839004015E+02; -5.268634583190E+02; -4.163923340837E+04;  4.164554994402E+04
1;1.000044;10141;  2.576325358472E+03;  4.402052464918E+02;  3.344496766577E+04;  3.354693868561E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  2.576325358472E+03;  4.402052464918E+02;  2.100951696415E+04;  2.117146749941E+04
2;2.000018;10141;  3.130951285893E+03;  4.427373242915E+02;  2.122157320236E+04;  2.145586263649E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  3.130951285893E+03;  4.427373242915E+02;  8.786122500733E+03;  9.337816708998E+03
3;3.000011;10141;  1.784312369348E+03;  1.930712092695E+02;  1.916623873385E+04;  1.925008452777E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  1.784312369348E+03;  1.930712092695E+02;  6.730788032226E+03;  6.965956837220E+03
4;4.000001;10141;  1.803277064441E+03;  3.830834993242E+00;  1.804188752592E+04;  1.813178227160E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  1.803277064441E+03;  3.830834993242E+00;  5.606436824299E+03;  5.889308678554E+03
5;5.000020;10141;  1.848757803525E+03;  1.896778663583E+01;  1.807082349577E+04;  1.816515694973E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  1.848757803525E+03;  1.896778663583E+01;  5.635372794146E+03;  5.930909856171E+03
6;6.000028;10141;  1.616258837041E+03;  2.598564184950E+01;  1.826236897893E+04;  1.833376907798E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  1.616258837041E+03;  2.598564184950E+01;  5.826918277307E+03;  6.046978128976E+03
7;7.000040;10141;  1.627748764942E+03; -5.161185669051E+01;  1.863561608253E+04;  1.870664097589E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  1.627748764942E+03; -5.161185669051E+01;  6.200165380901E+03;  6.410482086088E+03
8;8.000022;10141;  1.578585945583E+03; -5.731326619609E+01;  1.850473700816E+04;  1.857203570261E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  1.578585945583E+03; -5.731326619609E+01;  6.069286306533E+03;  6.271479464109E+03
9;9.000048;10141;  1.601050612273E+03;  4.374093279505E+01;  1.826065122640E+04;  1.833075720052E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  1.601050612273E+03;  4.374093279505E+01;  5.825200524775E+03;  6.041377118348E+03
