Part;Time [s];Np;ForceFluid.x [N];ForceFluid.y [N];ForceFluid.z [N];ForceFluid [N];Weight.x [N];Weight.y [N];Weight.z [N];ForceTotal.x [N];ForceTotal.y [N];ForceTotal.z [N];ForceTotal [N]
0;0.000000;10141;  1.692135663566E+03; -5.316561286426E+02; -2.922018127242E+04;  2.927396411380E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  1.692135663566E+03; -5.316561286426E+02; -4.165563197405E+04;  4.169337665026E+04
1;1.000024;10141;  1.318679366083E+03; -3.559706279102E+02;  2.431312590526E+04;  2.435146241283E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04;  1.318679366083E+03; -3.559706279102E+02;  1.187767520363E+04;  1.195595243389E+04
2;2.000037;10141; -1.296744902950E+04;  4.071133982660E+02;  3.105547728378E+04;  3.365654683676E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04; -1.296744902950E+04;  4.071133982660E+02;  1.862002658215E+04;  2.269418131530E+04
3;3.000065;10141; -1.316026887545E+04;  3.772310055504E+02;  3.126635910240E+04;  3.392521468799E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04; -1.316026887545E+04;  3.772310055504E+02;  1.883090840078E+04;  2.297690343158E+04
4;4.000009;10141; -1.294532821032E+04;  3.253783612799E+02;  3.158297559549E+04;  3.413461206776E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04; -1.294532821032E+04;  3.253783612799E+02;  1.914752489387E+04;  2.311525693373E+04
5;5.000013;10141; -1.406881610660E+04;  3.725382271001E+02;  3.075948130388E+04;  3.382626289521E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04; -1.406881610660E+04;  3.725382271001E+02;  1.832403060225E+04;  2.310498796547E+04
6;6.000048;10141; -1.465745108001E+04;  5.372085763556E+02;  3.124018006320E+04;  3.451200248607E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04; -1.465745108001E+04;  5.372085763556E+02;  1.880472936157E+04;  2.384842367074E+04
7;7.000048;10141; -1.499068376515E+04;  5.356276721505E+02;  3.109114993100E+04;  3.452053158313E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04; -1.499068376515E+04;  5.356276721505E+02;  1.865569922937E+04;  2.393830842993E+04
8;8.000035;10141; -1.484358901086E+04;  1.579256596830E+02;  3.133850054282E+04;  3.467648614709E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04; -1.484358901086E+04;  1.579256596830E+02;  1.890304984119E+04;  2.403502378896E+04
9;9.000056;10141; -1.466642158691E+04;  5.620251021181E+02;  3.170585538033E+04;  3.493824637527E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04; -1.466642158691E+04;  5.620251021181E+02;  1.927040467871E+04;  2.422330057737E+04
10;10.000024;10141; -1.456603362100E+04;  3.985018086747E+02;  3.197804824330E+04;  3.514148130899E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04; -1.456603362100E+04;  3.985018086747E+02;  1.954259754167E+04;  2.437706417548E+04
11;11.000023;10141; -1.476316797221E+04;  4.297506006358E+02;  3.207034143975E+04;  3.530782652920E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04; -1.476316797221E+04;  4.297506006358E+02;  1.963489073812E+04;  2.456958991218E+04
12;12.000007;10141; -1.421856787364E+04;  3.545497487762E+02;  3.227889603572E+04;  3.527350999244E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04; -1.421856787364E+04;  3.545497487762E+02;  1.984344533410E+04;  2.441425199815E+04
13;13.000070;10141; -1.396343522482E+04;  2.582753806821E+02;  3.222578481719E+04;  3.512186550475E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04; -1.396343522482E+04;  2.582753806821E+02;  1.979033411556E+04;  2.422192300078E+04
14;14.000025;10141; -1.390137089138E+04;  2.199794333234E+02;  3.247892452877E+04;  3.532954913605E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04; -1.390137089138E+04;  2.199794333234E+02;  2.004347382715E+04;  2.439338735540E+04
15;15.000101;10141; -1.398953081177E+04;  1.925616596457E+02;  3.252116229030E+04;  3.540296667002E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04; -1.398953081177E+04;  1.925616596457E+02;  2.008571158868E+04;  2.447815071344E+04
16;16.000080;10141; -1.376002260347E+04;  3.984868824509E+02;  3.289954431606E+04;  3.566338500546E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04; -1.376002260347E+04;  3.984868824509E+02;  2.046409361444E+04;  2.466325488057E+04
17;17.000072;10141; -1.289092631046E+04;  3.142471698900E+02;  3.312016795742E+04;  3.554180999827E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04; -1.289092631046E+04;  3.142471698900E+02;  2.068471725580E+04;  2.437482841740E+04
18;18.000009;10141; -1.291352742285E+04;  3.737305057066E+02;  3.309207167063E+04;  3.552441515979E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04; -1.291352742285E+04;  3.737305057066E+02;  2.065662096900E+04;  2.436380214270E+04
19;19.000024;10141; -1.250772261536E+04;  3.474423487656E+02;  3.293647241139E+04;  3.523315279839E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04; -1.250772261536E+04;  3.474423487656E+02;  2.050102170976E+04;  2.401782114082E+04
20;20.000047;10141; -1.227386836949E+04;  1.678930303356E+02;  3.318948782738E+04;  3.538669432237E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04; -1.227386836949E+04;  1.678930303356E+02;  2.075403712575E+04;  2.411236383764E+04
21;21.000053;10141; -1.245872804107E+04;  2.243700577695E+02;  3.336142553769E+04;  3.561256744789E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04; -1.245872804107E+04;  2.243700577695E+02;  2.092597483606E+04;  2.435501322446E+04
22;22.000007;10141; -1.169328636144E+04;  3.001730184164E+02;  3.373094380720E+04;  3.570153525965E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04; -1.169328636144E+04;  3.001730184164E+02;  2.129549310557E+04;  2.429652395676E+04
23;23.000055;10141; -1.145261699594E+04;  2.748103539445E+02;  3.367735864390E+04;  3.557249558319E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04; -1.145261699594E+04;  2.748103539445E+02;  2.124190794227E+04;  2.413413785107E+04
24;24.000046;10141; -1.138433466646E+04;  8.270802682209E+01;  3.405216557214E+04;  3.590487288054E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04; -1.138433466646E+04;  8.270802682209E+01;  2.161671487051E+04;  2.443137896658E+04
25;25.000112;10141; -1.078638664693E+04;  1.373262432150E+02;  3.434077952663E+04;  3.599519598350E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04; -1.078638664693E+04;  1.373262432150E+02;  2.190532882500E+04;  2.441737959580E+04
26;26.000084;10141; -1.051257814316E+04;  4.674897798558E+01;  3.455363984183E+04;  3.611745438153E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04; -1.051257814316E+04;  4.674897798558E+01;  2.211818914021E+04;  2.448940128964E+04
27;27.000131;10141; -1.034231268157E+04;  1.300526832112E+02;  3.509559862735E+04;  3.658799513933E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04; -1.034231268157E+04;  1.300526832112E+02;  2.266014792572E+04;  2.490908768541E+04
28;28.000022;10141; -1.014364853298E+04; -3.302471733089E+01;  3.509231799442E+04;  3.652896766148E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04; -1.014364853298E+04; -3.302471733089E+01;  2.265686729279E+04;  2.482394673930E+04
29;29.000089;10141; -9.634595225397E+03;  1.739214382113E+02;  3.577810991110E+04;  3.705305416069E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04; -9.634595225397E+03;  1.739214382113E+02;  2.334265920948E+04;  2.525342378359E+04
30;30.000018;10141; -9.028459172039E+03; -9.522343697902E+01;  3.612678391847E+04;  3.723797334464E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04; -9.028459172039E+03; -9.522343697902E+01;  2.369133321685E+04;  2.535352859299E+04
31;31.000042;10141; -8.709810548939E+03;  1.348032765795E+02;  3.653346395748E+04;  3.755759524323E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04; -8.709810548939E+03;  1.348032765795E+02;  2.409801325585E+04;  2.562407490235E+04
32;32.000057;10141; -8.274522205254E+03; -4.157046333830E+01;  3.667526629867E+04;  3.759713558114E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04; -8.274522205254E+03; -4.157046333830E+01;  2.423981559704E+04;  2.561324083374E+04
33;33.000055;10141; -8.439327185066E+03; -8.757081375807E-01;  3.653668830010E+04;  3.749869112439E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04; -8.439327185066E+03; -8.757081375807E-01;  2.410123759848E+04;  2.553609010561E+04
34;34.000068;10141; -8.139452177294E+03; -3.357712137265E+00;  3.588370502269E+04;  3.679525756366E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04; -8.139452177294E+03; -3.357712137265E+00;  2.344825432107E+04;  2.482078410780E+04
35;35.000077;10141; -8.150872716700E+03; -1.427344600880E+02;  3.523913313184E+04;  3.616978854035E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04; -8.150872716700E+03; -1.427344600880E+02;  2.280368243022E+04;  2.421704010708E+04
36;36.000029;10141; -7.914790078600E+03; -1.119294878722E+02;  3.522026825959E+04;  3.609880505607E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04; -7.914790078600E+03; -1.119294878722E+02;  2.278481755797E+04;  2.412062066673E+04
37;37.000069;10141; -8.025324413370E+03; -4.954881338165E+02;  3.550063425718E+04;  3.639981281673E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04; -8.025324413370E+03; -4.954881338165E+02;  2.306518355556E+04;  2.442650267398E+04
38;38.000071;10141; -8.065608664288E+03; -2.058151667940E+02;  3.502388440346E+04;  3.594118642610E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04; -8.065608664288E+03; -2.058151667940E+02;  2.258843370184E+04;  2.398611556944E+04
39;39.000084;10141; -8.224817377118E+03;  5.846331721377E+01;  3.468134048197E+04;  3.564332218624E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04; -8.224817377118E+03;  5.846331721377E+01;  2.224588978034E+04;  2.371772862155E+04
40;40.000043;10141; -7.924589636417E+03; -6.633722655932E+01;  3.508704603171E+04;  3.597088156780E+04;  0.000000000000E+00;  0.000000000000E+00; -1.243545070163E+04; -7.924589636417E+03; -6.633722655932E+01;  2.265159533009E+04;  2.399788100086E+04
