Part;Time [s];Np;ForceFluid.x [N];ForceFluid.y [N];ForceFluid.z [N];ForceFluid [N]
0;0.000000;40809;  3.317896775104E-02; -1.062167575583E-05; -2.387455688366E+06;  2.387455688366E+06
1;0.500058;40809;  3.196253361684E+06;  2.153108790090E+02; -8.029107316062E+06;  8.641909504923E+06
2;1.000173;40809;  1.291432244231E+07;  5.863088045151E+01; -1.575213631191E+07;  2.036932798441E+07
3;1.500068;40809;  3.158463462779E+07; -7.863557859598E+02; -2.676995989830E+07;  4.140313874751E+07
4;2.000217;40809;  8.052163651908E+07; -9.850962021269E+02; -6.021992153044E+07;  1.005493555316E+08
5;2.500081;40809;  1.680746277647E+08; -7.324881986433E+02; -1.368502774661E+08;  2.167419639602E+08
6;3.000067;40809;  3.162162249539E+08;  3.758005265633E+03; -2.535254113152E+08;  4.052996855671E+08
7;3.500233;40809;  5.592075008428E+08;  6.559037733296E+04; -4.256252693894E+08;  7.027587802680E+08
8;4.000171;40809;  9.256572458021E+08;  2.851760725432E+06; -6.605675563608E+08;  1.137189063332E+09
9;4.500159;40809;  1.522694433366E+09; -1.021563115088E+06; -1.039089281316E+09;  1.843449461076E+09
10;5.000081;40809;  2.369454843676E+09;  1.001785403247E+07; -1.754486149066E+09;  2.948328044992E+09
11;5.500036;40809;  3.589227657175E+09; -9.605206781075E+06; -2.518679271711E+09;  4.384791067859E+09
12;6.000175;40809;  5.265710811659E+09; -1.231640506856E+08; -3.811433834179E+09;  6.501531174095E+09
13;6.500245;40809;  7.598456449765E+09; -5.016033171504E+07; -5.599736695898E+09;  9.439073447179E+09
14;7.000184;40809;  1.065179343944E+10;  1.460885586511E+08; -7.853592326394E+09;  1.323483878907E+10
15;7.500218;40809;  1.471690160615E+10; -3.616499082743E+08; -1.094484818112E+10;  1.834414580320E+10
16;8.000107;40809;  2.005954428903E+10;  1.449571074748E+08; -1.489984181303E+10;  2.498822954313E+10
17;8.500062;40809;  2.691032622557E+10; -1.096039747461E+08; -2.036725824582E+10;  3.374911671511E+10
18;9.000137;40809;  3.549053258262E+10; -1.964947676870E+08; -2.745473285746E+10;  4.487069053922E+10
19;9.500108;40809;  4.623484858873E+10; -4.179374983612E+07; -3.617131720444E+10;  5.870287181258E+10
20;10.000030;40809;  5.927986783865E+10;  1.429470603991E+09; -4.587831080652E+10;  7.497309863968E+10
21;10.500135;40809;  7.602960075306E+10; -2.337057825242E+09; -5.686468279854E+10;  9.497133346293E+10
22;11.000161;40809;  9.550745294853E+10;  7.529889663481E+08; -6.996046384447E+10;  1.183921748361E+11
23;11.500103;40809;  1.197005966963E+11;  1.511311379459E+09; -9.329374120654E+10;  1.517703497388E+11
24;12.000045;40809;  1.483120427836E+11;  1.488355916913E+09; -1.115703040354E+11;  1.855979794624E+11
25;12.500226;40809;  1.857470086488E+11;  6.623474248541E+08; -1.425114903690E+11;  2.341194456112E+11
26;13.000123;40809;  2.241046934375E+11;  7.018054034824E+09; -1.679787120404E+11;  2.801589091960E+11
27;13.500072;40809;  2.736565117727E+11; -2.610477992760E+09; -2.186001023827E+11;  3.502580559997E+11
28;14.000088;40809;  3.322751498375E+11;  4.526758964964E+09; -2.609742280460E+11;  4.225338027312E+11
29;14.500215;40809;  3.997852993387E+11; -1.440924277656E+10; -3.105621139712E+11;  5.064432233518E+11
30;15.000201;40809;  4.760421940515E+11;  7.166379204066E+09; -3.777127487095E+11;  6.077289264515E+11
